Nº,Tema,Slug do Artigo,Categoria,Texto de Tela,Sugestão de B-roll,Legenda,Hashtags
1,O medo do remédio,relato-medo-remedio,Relatos da Prática,MEDO DO REMÉDIO | NÃO É TEIMOSIA | É CONFIANÇA A CONSTRUIR,Consultório médico acolhedor; close em cartela de comprimidos sobre a mesa; paciente hesitante segurando a receita; médico conversando em tom calmo; mãos entregando um copo d’água.,"Medo de remédio psiquiátrico é mais comum (e mais compreensível) do que parece. Este relato mostra como a confiança, não a pressão, muda esse quadro. 📖 [LINK] 📅 [LINK BIO]",#saudemental #medicinadefamilia #reels #saudementalimporta #medodetratamento #psicofarmacos
2,A aposta que consumiu uma família,relato-aposta-familia,Relatos da Prática,A DÍVIDA APARECEU ANTES DO MOTIVO | JOGO PATOLÓGICO NÃO É SOBRE DINHEIRO,Mãos mexendo no celular com um app de apostas; extrato bancário com saldo negativo; família em silêncio à mesa de jantar; luz de tela de celular refletida no rosto à noite.,"Por trás de uma dívida ""inexplicável"" às vezes há um transtorno não identificado. Veja os sinais de jogo patológico. 📖 [LINK] 📅 [LINK BIO]",#saudemental #medicinadefamilia #reels #saudementalimporta #jogopatologico #apostas
3,Sinais de compulsão alimentar em adolescente,relato-prato-campo-batalha,Relatos da Prática,COMER ESCONDIDO | CULPA DEPOIS DE COMER | PRESTE ATENÇÃO,Prato de comida intocado; adolescente fechando a porta do quarto com um pacote de biscoito; mãe observando pela fresta da porta; geladeira sendo aberta à noite.,Um relato sobre como uma mãe percebeu sinais de compulsão alimentar na filha adolescente — antes de qualquer exame apontar algo. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #compulsaoalimentar #adolescencia
4,O cigarro que ninguém perguntava,relato-tabaco-ninguem-perguntava,Relatos da Prática,20 ANOS FUMANDO | NINGUÉM PERGUNTOU | TABAGISMO TEM TRATAMENTO,Cinzeiro com cigarros apagados; mão pegando um maço de cigarro; consulta médica com ficha de anamnese; calendário marcado com tentativas de parar.,Dependência de nicotina também é dependência química — e também merece tratamento de verdade. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #tabagismo #dependenciaquimica
5,"Depressão no idoso disfarçada de ""velhice""",relato-corpo-envelhece-mente-esquecida,Relatos da Prática,'É A IDADE' | SÓ QUE NÃO ERA | DEPRESSÃO TEM TRATAMENTO,Idoso olhando pela janela; mãos enrugadas segurando uma xícara de chá; álbum de fotos antigo sendo folheado; consulta geriátrica com médico anotando.,"Tristeza na velhice não é sempre ""normal da idade"". Às vezes, é depressão — e tem tratamento. 📖 [LINK] 📅 [LINK BIO]",#saudemental #medicinadefamilia #reels #saudementalimporta #saudementaldoidoso #depressao
6,O que faz alguém voltar ao tratamento,relato-ultima-consulta-antes-desistir,Relatos da Prática,ELE IA DESISTIR | UMA COISA MUDOU | SER OUVIDO,Sala de espera vazia; paciente com a mão na maçaneta da porta; médico se inclinando para escutar com atenção; aperto de mão de despedida.,"O que faz alguém decidir continuar um tratamento, mesmo já tendo decidido parar? Às vezes, é simplesmente ser ouvido. 📖 [LINK] 📅 [LINK BIO]",#saudemental #medicinadefamilia #reels #saudementalimporta #adesaoaotratamento #relatodeconsultorio
7,Quando o consultório revela violência doméstica,relato-territorio-segredos,Relatos da Prática,O VÍNCULO REVELOU | O QUE NENHUM EXAME MOSTRARIA,Agente de saúde caminhando por rua de bairro residencial; visita domiciliar batendo à porta; ficha de família em prancheta; mãos preenchendo prontuário da ESF.,Vínculo territorial na Atenção Primária pode revelar o que nenhum exame mostraria. Um relato sobre isso. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #violenciadomestica #atencaoprimaria
8,O cuidador que ninguém via,relato-peso-invisivel-cuidador,Relatos da Prática,"A CONSULTA ERA DELE | A SOBRECARGA ERA DELA | E VOCÊ, COMO ESTÁ?","Cuidadora ajudando idoso a caminhar; olheiras visíveis de cansaço; xícara de café esfriando sobre a mesa; cuidadora sentada sozinha à noite, exausta.","Quem cuida também precisa ser perguntado: ""e você, como está?"" 💙 📖 [LINK] 📅 [LINK BIO]",#saudemental #medicinadefamilia #reels #saudementalimporta #cuidadorfamiliar #sobrecarga
9,Roblox e Fortnite: o que pais precisam saber,jogos-online-criancas,Pais & Famílias,ROBLOX / FORTNITE | 3 RISCOS REAIS | ECA DIGITAL MUDOU AS REGRAS,Criança jogando videogame com fone de ouvido; tela de celular com chat de jogo online; controle de videogame nas mãos de uma criança; pais observando de longe.,"O que pais precisam saber sobre Roblox, Fortnite e jogos online — riscos reais e o que mudou com o ECA Digital. 📖 [LINK] 📅 [LINK BIO]",#saudemental #medicinadefamilia #reels #saudementalimporta #jogosonline #ecadigital #paisefilhos
10,Primeiros sinais de surto psicótico,primeiro-episodio-psicotico,Médicos & Enfermeiros,ANTES DO SURTO | 3 SINAIS DE ALERTA | RECONHECIMENTO PRECOCE IMPORTA,Jovem isolado em um quarto escuro; corredor de pronto-socorro psiquiátrico; médico revisando exames; prontuário eletrônico com anotações clínicas.,Reconhecimento precoce de psicose salva anos de sofrimento. Sinais de alerta que família e profissionais deveriam conhecer. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #psicose #saudementaljovem
11,Saiu do pronto-socorro psiquiátrico: e agora?,alta-pa-psiquiatrico,Médicos & Enfermeiros,SAIU DO PA | E AGORA? | O PÓS-CRISE DECIDE TUDO,Porta de saída de um hospital; paciente acompanhado por familiar até o carro; agenda de retorno sendo marcada; ligação telefônica de acompanhamento.,A alta do pronto-socorro psiquiátrico não é o fim do cuidado — é onde o cuidado de verdade começa. 📖 [LINK] 📅 [LINK BIO],#saudemental #medicinadefamilia #reels #saudementalimporta #urgenciapsiquiatrica #pospcrise
